regex_logic,word,flag
"ab{1,}andoned",abandoned,Y
"abo{2,}rtio{2,}n{2,}s",abortions,Y
"ah{2,}",ah,Y
"a{1,}ll",all,Y
"a{1,}n{1,}",an,Y
"a{1,}n{1,}d{1,}",and,Y
"a{1,}r{1,}g{1,}h{1,}",argh,Y
"aw{2,}",aw,N
"awesome{1,}",awesome,Y
"ay{2,}",ay,N
"b{1,}a{1,}c{1,}k{1,}",back,N
"bro{2,}",bro,Y
"ca{1,}ll",call,Y
"come{2,}",come,N
"d{1,}a{1,}m{1,}n{1,}",damn,Y
"f{2,}orecast",forecast,Y
"fuck{2,}",fuck,Y
"go{2,}",go,Y
"go{1,}a{1,}l",goal,Y
"[h]{1,}a[ha]+",haa,Y
"(oh{2,})|(o{2,}h{2,})|(o{2,}h)",oh,Y
"ple{1,}ase",please,Y
"lmfao{2,}",lmfao,Y
"lo{1,}l",lol,Y
"mad{1,}",mad,Y
"ma{2,}n",man,Y
"me{2,}l{2,}t{2,}ing",melting,N
"no{1,}",no,Y
"now{2,}",now,N
"okay{1,}",okay,N
"(om{2,}g)|(omg{2,})",omg,Y
"on{2,}",on,Y
"o{2,}r{2,}",or,Y
"ni{2,}ce",nice,N
"pls{2,}",pls,N
"re{1,}a{1,}d",read,Y
"remedy{1,}",remedy,N
"sh{2,}",sh,N
"s{2,}h{2,}ees{2,}h{2,}",sheesh,Y
"sni{2,}ff",sniff,Y
"so{1,}",so,Y
"thank{2,}",thank,Y
"thru{2,}",thru,N
"uh{2,}",uh,Y
"um{2,}",um,Y
"until{2,}",until,Y
"yea{1,}h{1,}",yeah,Y
"ye{1,}s{1,}",yes,Y
"y{1,}o{1,}u{1,}",you,N
